5,Rex,24.91666667,
10,Caps,37.02941176,
15,Rex,24.91666667,
20,Rex,24.91666667,
25,Caps,37.02941176,
30,Blob,37.01923077,
35,Shade,37.41818182,
40,Gargoyle,33.35555556,
45,Rex,24.91666667,
50,Blob,37.01923077,
55,Blob,37.01923077,
60,Shade,37.41818182,
65,Blob,37.01923077,
70,Rex,24.91666667,
75,Frosk,19.31914894,
80,Gargoyle,33.35555556,
85,Frosk,19.31914894,
90,Gargoyle,33.35555556,
95,Dino,37.19512195,
100,Caps,37.02941176,
105,Dino,37.19512195,
110,Rex,24.91666667,
115,Caps,37.02941176,
120,Caps,37.02941176,
125,Frosk,19.31914894,
130,Gargoyle,33.35555556,
135,Rex,24.91666667,
140,Dino,37.19512195,
145,Gargoyle,33.35555556,
150,Shade,37.41818182,
155,Shade,37.41818182,
160,Gargoyle,33.35555556,
165,Rex,24.91666667,
170,Shade,37.41818182,
175,Gargoyle,33.35555556,
180,Dino,37.19512195,
185,Dino,37.19512195,
190,Shade,37.41818182,
195,Dino,37.19512195,
200,Gargoyle,33.35555556,
205,Caps,37.02941176,
210,Rex,24.91666667,
215,Caps,37.02941176,
220,Caps,37.02941176,
225,Caps,37.02941176,
230,Shade,37.41818182,
235,Blob,37.01923077,
240,Blob,37.01923077,
245,Shade,37.41818182,
250,Blob,37.01923077,
255,Blob,37.01923077,
260,Caps,37.02941176,
265,Rex,24.91666667,
270,Shade,37.41818182,
275,Gargoyle,33.35555556,
280,Rex,24.91666667,
285,Gargoyle,33.35555556,
290,Caps,37.02941176,
295,Gargoyle,33.35555556,
300,Caps,37.02941176,
305,Frosk,19.31914894,
310,Rex,24.91666667,
315,Dino,37.19512195,
320,Gargoyle,33.35555556,
325,Caps,37.02941176,
330,Caps,37.02941176,
335,Shade,37.41818182,
340,Blob,37.01923077,
345,Warmonger,25.63414634,
350,Frosk,19.31914894,
355,Caps,37.02941176,
360,Rex,24.91666667,
365,Blob,37.01923077,
370,Gargoyle,33.35555556,
375,Frosk,19.31914894,
380,Shade,37.41818182,
385,Rex,24.91666667,
390,Blob,37.01923077,
395,Gargoyle,33.35555556,
400,Frosk,19.31914894,
405,Shade,37.41818182,
410,Rex,24.91666667,
415,Dino,37.19512195,
420,Gargoyle,33.35555556,
425,Caps,37.02941176,
430,Shade,37.41818182,
